族語	中文翻譯	從語料庫移除	音檔
lisin	習俗	保留	Sakizaya_A2-9-28.mp3
lumeniay	黑色	保留	Sakizaya_A2-9-30.mp3
lutuk	草	保留	Sakizaya_A2-9-31.mp3
maacak	熟（食物）	保留	Sakizaya_A2-10-1.mp3
mabecul	飽	保留	Sakizaya_A2-10-2.mp3
mabelih	倒；翻倒	保留	Sakizaya_A2-10-3.mp3
mabulah	想念	保留	Sakizaya_A2-10-5.mp3
mabunal	熟（稻子）	保留	Sakizaya_A2-10-6.mp3
mabusuk	酒醉	保留	Sakizaya_A2-10-7.mp3
macalenget	癢；搔癢	保留	Sakizaya_A2-10-8.mp3
maedeb	關上	保留	Sakizaya_A2-10-10.mp3
mahica	如何	保留	Sakizaya_A2-10-11.mp3
maizang	流血	保留	Sakizaya_A2-10-12.mp3
makasic	懶惰	保留	Sakizaya_A2-10-13.mp3
malaheci	完成	保留	Sakizaya_A2-10-14.mp3
malalemed	濕的	保留	Sakizaya_A2-10-15.mp3
malikeluh	遇到	保留	Sakizaya_A2-10-16.mp3
malecad	一樣；相同	保留	Sakizaya_A2-10-17.mp3
malingatu	開始	保留	Sakizaya_A2-10-18.mp3
malinges	生氣；氣憤	保留	Sakizaya_A2-10-19.mp3
maluman	舊的	保留	Sakizaya_A2-10-20.mp3
manamuh	高興；快樂；喜歡	保留	Sakizaya_A2-10-21.mp3
mangaay	煮熟；熟（食物）	保留	Sakizaya_A2-10-22.mp3
mangalay	餓	保留	Sakizaya_A2-10-23.mp3
mangaluh	渴	保留	Sakizaya_A2-10-24.mp3
mangiwit	歪；斜	保留	Sakizaya_A2-10-25.mp3
manta’ay	生的；未熟的	保留	Sakizaya_A2-10-26.mp3
mapalaw	跳舞	保留	Sakizaya_A2-10-27.mp3
mapawan	忘記	保留	Sakizaya_A2-10-28.mp3
mapuling	跌倒	保留	Sakizaya_A2-10-29.mp3
masamel	睏（想睡覺）	保留	Sakizaya_A2-10-30.mp3
masanek	聞	保留	Sakizaya_A2-10-31.mp3
masay	藤類	保留	Sakizaya_A2-10-32.mp3
masuwab	打哈欠	保留	Sakizaya_A2-10-33.mp3
mata	眼睛	保留	Sakizaya_A2-10-34.mp3
matalaw	害怕	保留	Sakizaya_A2-10-35.mp3
matawa	笑	保留	Sakizaya_A2-10-36.mp3
matawid	嚇一跳	保留	Sakizaya_A2-10-37.mp3
matengil	聽	保留	Sakizaya_A2-10-38.mp3
matihuway	跛腳	保留	Sakizaya_A2-10-39.mp3
matimtim	舔	保留	Sakizaya_A2-10-40.mp3
matineng	知道；會；懂	保留	Sakizaya_A2-10-41.mp3
matumes	滿	保留	Sakizaya_A2-10-42.mp3
maungung	燒焦；烤焦	保留	Sakizaya_A2-10-43.mp3
mauzipay	活的	保留	Sakizaya_A2-10-44.mp3
mawmah	除草（用鋤頭）	保留	Sakizaya_A2-10-45.mp3
maylay; sikawaw	勤勞	保留	Sakizaya_A2-10-47.mp3
mazuhem	熟（水果）	保留	Sakizaya_A2-10-48.mp3
mecel; besuc	直	保留	Sakizaya_A2-10-49.mp3
miabibi	抱著	保留	Sakizaya_A2-10-50.mp3
miacak	曬乾	保留	Sakizaya_A2-10-51.mp3
