族語	中文翻譯	從語料庫移除	覆寫音檔網址	音檔網址
toma bahak	心臟	保留		http://ilrdc.tw/grammar/sound/5/A2-19-3.mp3
tpunu	枕頭	保留		http://ilrdc.tw/grammar/sound/5/A2-19-4.mp3
tqeraq	躺	保留		http://ilrdc.tw/grammar/sound/5/A2-19-5.mp3
tqgilaq / tqwilaq	閃電	保留		http://ilrdc.tw/grammar/sound/5/A2-19-6.mp3
tquti	放屁	保留		http://ilrdc.tw/grammar/sound/5/A2-19-7.mp3
trasi	斗笠；雨傘	保留		http://ilrdc.tw/grammar/sound/5/A2-19-8.mp3
trima	洗（身體任何部位）；洗澡	保留		http://ilrdc.tw/grammar/sound/5/A2-19-9.mp3
rqeraq	休息；躺臥	保留		http://ilrdc.tw/grammar/sound/5/A2-19-10.mp3
truma	裡面；內部	保留		http://ilrdc.tw/grammar/sound/5/A2-20-1.mp3
udiq	水滴	保留		http://ilrdc.tw/grammar/sound/5/A2-20-2.mp3
tunux	頭	保留		http://ilrdc.tw/grammar/sound/5/A2-20-3.mp3
turuq	痰	保留		http://ilrdc.tw/grammar/sound/5/A2-20-4.mp3
tuting	鐵鎚	保留		http://ilrdc.tw/grammar/sound/5/A2-20-5.mp3
uban	毛	保留		http://ilrdc.tw/grammar/sound/5/A2-20-6.mp3
ucik	辣椒	保留		http://ilrdc.tw/grammar/sound/5/A2-20-7.mp3
uka	沒有	保留		http://ilrdc.tw/grammar/sound/5/A2-21-1.mp3
uka (hini)	不在（這裡）	保留		http://ilrdc.tw/grammar/sound/5/A2-21-2.mp3
un	是的	保留		http://ilrdc.tw/grammar/sound/5/A2-21-3.mp3
urung	角（動物的）	保留		http://ilrdc.tw/grammar/sound/5/A2-21-4.mp3
utux	神；鬼；鬼魂	保留		http://ilrdc.tw/grammar/sound/5/A2-21-5.mp3
uxe	不是	保留		http://ilrdc.tw/grammar/sound/5/A2-21-6.mp3
